,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령
0,2013년 1월 1일 11시,화요일,서울특별시 강서구 화곡동,경상사고,0,0,6,1,차대차 - 기타,안전운전불이행,포장 - 결빙,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,24세
1,2013년 1월 1일 12시,화요일,서울특별시 중랑구 망우동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 결빙,맑음,단일로 - 횡단보도상,승용,남,25세,상해없음,보행자,남,10세
2,2013년 1월 1일 16시,화요일,서울특별시 종로구 사직동,중상사고,0,1,3,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 적설,흐림,교차로 - 교차로안,승용,남,67세,상해없음,승용,남,36세
3,2013년 1월 1일 21시,화요일,서울특별시 영등포구 영등포동2가,경상사고,0,0,4,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 결빙,눈,단일로 - 기타,승용,남,23세,상해없음,승용,남,33세
5,2013년 1월 2일 13시,수요일,서울특별시 강서구 개화동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,포장 - 습기,흐림,교차로 - 교차로부근,승용,여,36세,상해없음,승용,여,44세
6,2013년 1월 2일 17시,수요일,서울특별시 도봉구 방학동,경상사고,0,0,3,1,차대차 - 추돌 - 진행중,신호위반,포장 - 습기,흐림,교차로 - 교차로안,승용,남,32세,부상신고,승용,남,39세
7,2013년 1월 3일 10시,목요일,서울특별시 강북구 수유동,경상사고,0,0,4,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 결빙,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,31세
8,2013년 1월 3일 11시,목요일,서울특별시 마포구 창전동,경상사고,0,0,3,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,55세,상해없음,승용,남,50세
9,2013년 1월 3일 13시,목요일,서울특별시 은평구 불광동,중상사고,0,1,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,60세,상해없음,보행자,남,7세
10,2013년 1월 3일 15시,목요일,서울특별시 용산구 원효로2가,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,보행자,남,12세
11,2013년 1월 3일 18시,목요일,서울특별시 서대문구 봉원동,경상사고,0,0,2,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,보행자,여,57세
12,2013년 1월 4일 15시,금요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,63세,상해없음,보행자,남,7세
13,2013년 1월 4일 17시,금요일,서울특별시 광진구 구의동,경상사고,0,0,1,1,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,71세,상해없음,승용,남,40세
14,2013년 1월 4일 17시,금요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,12세
15,2013년 1월 4일 19시,금요일,서울특별시 중구 태평로2가,경상사고,0,0,1,2,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,43세
16,2013년 1월 5일 08시,토요일,서울특별시 관악구 봉천동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,37세
17,2013년 1월 5일 11시,토요일,서울특별시 강동구 길동,경상사고,0,0,7,0,차대차 - 추돌 - 진행중,차로위반,포장 - 습기,맑음,단일로 - 기타,승용,여,46세,상해없음,승합,남,53세
18,2013년 1월 5일 12시,토요일,서울특별시 종로구 행촌동,경상사고,0,0,5,0,차대차 - 측면직각충돌,중앙선침범,포장 - 습기,맑음,단일로 - 기타,승용,남,62세,경상,승합,남,51세
19,2013년 1월 5일 14시,토요일,서울특별시 중구 남대문로3가,경상사고,0,0,1,3,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,,,
20,2013년 1월 5일 15시,토요일,서울특별시 종로구 평동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 횡단보도부근,화물,남,33세,상해없음,보행자,여,4세
21,2013년 1월 5일 16시,토요일,서울특별시 서초구 양재동,경상사고,0,0,2,9,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,30세,상해없음,승합,남,43세
22,2013년 1월 5일 18시,토요일,서울특별시 종로구 종로6가,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,여,29세
23,2013년 1월 6일 11시,일요일,서울특별시 구로구 구로동,경상사고,0,0,4,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,남,59세
24,2013년 1월 6일 16시,일요일,서울특별시 금천구 독산동,중상사고,0,1,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,,,
25,2013년 1월 6일 19시,일요일,서울특별시 구로구 고척동,경상사고,0,0,4,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,40세
26,2013년 1월 7일 12시,월요일,서울특별시 영등포구 당산동1가,중상사고,0,1,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,남,31세
27,2013년 1월 7일 13시,월요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 결빙,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,9세
28,2013년 1월 8일 17시,화요일,서울특별시 서초구 원지동,경상사고,0,0,4,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,29세
30,2013년 1월 9일 11시,수요일,서울특별시 노원구 월계동,중상사고,0,1,2,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,승용,남,47세
31,2013년 1월 9일 17시,수요일,서울특별시 성동구 성수동1가,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 결빙,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,3세
32,2013년 1월 9일 17시,수요일,서울특별시 강남구 역삼동,중상사고,0,3,5,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,53세,상해없음,승용,남,60세
33,2013년 1월 10일 08시,목요일,서울특별시 성북구 하월곡동,중상사고,0,1,5,0,차대차 - 추돌 - 진행중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,경상,승용,남,59세
34,2013년 1월 10일 12시,목요일,서울특별시 마포구 망원동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,화물,남,29세,상해없음,보행자,여,10세
35,2013년 1월 10일 12시,목요일,서울특별시 동작구 대방동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,30세,상해없음,보행자,남,11세
37,2013년 1월 12일 00시,토요일,서울특별시 마포구 성산동,중상사고,0,1,5,0,차대차 - 기타,안전운전불이행,포장 - 습기,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,여,31세
38,2013년 1월 12일 15시,토요일,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 습기,흐림,교차로 - 교차로안,승용,남,46세,상해없음,보행자,남,9세
39,2013년 1월 12일 19시,토요일,서울특별시 광진구 화양동,경상사고,0,0,4,0,차대차 - 기타,안전거리미확보,포장 - 습기,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,35세
40,2013년 1월 12일 23시,토요일,서울특별시 금천구 가산동,경상사고,0,0,7,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,경상,승용,여,37세
41,2013년 1월 13일 11시,일요일,서울특별시 구로구 개봉동,중상사고,0,4,4,0,차대차 - 측면직각충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,승용,남,40세
42,2013년 1월 13일 16시,일요일,서울특별시 강남구 자곡동,중상사고,0,2,2,1,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,30세,상해없음,승용,남,31세
43,2013년 1월 13일 18시,일요일,서울특별시 송파구 가락동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 습기,맑음,교차로 - 교차로안,화물,남,40세,상해없음,화물,남,24세
44,2013년 1월 13일 21시,일요일,서울특별시 중랑구 신내동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,이륜,남,17세,상해없음,보행자,남,11세
45,2013년 1월 13일 23시,일요일,서울특별시 노원구 공릉동,중상사고,0,1,2,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 습기,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,37세
46,2013년 1월 14일 08시,월요일,서울특별시 송파구 잠실동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승합,남,49세,상해없음,보행자,남,12세
47,2013년 1월 14일 14시,월요일,서울특별시 마포구 성산동,중상사고,0,1,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,여,56세
48,2013년 1월 15일 09시,화요일,서울특별시 강서구 화곡동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,여,8세
49,2013년 1월 17일 08시,목요일,서울특별시 중랑구 상봉동,중상사고,0,1,4,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,41세,중상,승용,남,39세
50,2013년 1월 17일 09시,목요일,서울특별시 중랑구 중화동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,41세
52,2013년 1월 17일 10시,목요일,서울특별시 광진구 능동,중상사고,0,13,15,9,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,승합,남,52세
53,2013년 1월 17일 17시,목요일,서울특별시 강남구 대치동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,승용,남,38세,상해없음,보행자,남,10세
54,2013년 1월 17일 18시,목요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,9세
55,2013년 1월 18일 12시,금요일,서울특별시 용산구 이태원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,7세
56,2013년 1월 18일 19시,금요일,서울특별시 금천구 독산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,44세,상해없음,보행자,남,12세
57,2013년 1월 19일 09시,토요일,서울특별시 도봉구 창동,중상사고,0,1,3,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,기타,단일로 - 기타,승용,남,52세,상해없음,승용,여,37세
58,2013년 1월 19일 13시,토요일,서울특별시 송파구 석촌동,경상사고,0,0,2,4,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,49세
59,2013년 1월 19일 18시,토요일,서울특별시 강북구 미아동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,여,8세
60,2013년 1월 19일 23시,토요일,서울특별시 서대문구 홍은동,중상사고,0,1,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,남,34세
61,2013년 1월 19일 23시,토요일,서울특별시 양천구 신월동,중상사고,0,2,3,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,31세
62,2013년 1월 20일 10시,일요일,서울특별시 광진구 중곡동,경상사고,0,0,5,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,38세
63,2013년 1월 20일 16시,일요일,서울특별시 금천구 독산동,중상사고,0,1,3,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,이륜,남,32세
64,2013년 1월 20일 18시,일요일,서울특별시 강동구 상일동,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,남,6세
65,2013년 1월 20일 20시,일요일,서울특별시 서초구 양재동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,45세
66,2013년 1월 21일 00시,월요일,서울특별시 도봉구 창동,경상사고,0,0,3,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,승용,남,32세
67,2013년 1월 22일 10시,화요일,서울특별시 마포구 상암동,중상사고,0,4,2,0,차대차 - 측면직각충돌,신호위반,포장 - 습기,흐림,교차로 - 교차로안,승용,남,56세,중상,승용,남,35세
68,2013년 1월 22일 17시,화요일,서울특별시 노원구 상계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 습기,흐림,기타 - 기타,승용,여,43세,상해없음,보행자,남,10세
69,2013년 1월 23일 16시,수요일,서울특별시 동대문구 장안동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,포장 - 습기,흐림,단일로 - 기타,승용,남,30세,상해없음,보행자,남,6세
70,2013년 1월 23일 17시,수요일,서울특별시 강남구 논현동,중상사고,0,1,2,0,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,승용,여,33세
71,2013년 1월 23일 18시,수요일,서울특별시 관악구 신림동,경상사고,0,0,4,2,차대차 - 기타,안전거리미확보,포장 - 습기,흐림,단일로 - 기타,승용,남,57세,경상,승용,남,51세
72,2013년 1월 23일 21시,수요일,서울특별시 광진구 구의동,경상사고,0,0,3,1,차대차 - 측면직각충돌,기타,포장 - 습기,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,26세
73,2013년 1월 25일 16시,금요일,서울특별시 송파구 마천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,여,12세
74,2013년 1월 25일 17시,금요일,서울특별시 강남구 도곡동,중상사고,0,1,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,68세,기타불명,보행자,여,38세
75,2013년 1월 25일 18시,금요일,서울특별시 서대문구 홍은동,경상사고,0,0,5,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,승용,남,63세
76,2013년 1월 25일 18시,금요일,서울특별시 용산구 한강로1가,중상사고,0,5,8,3,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승합,남,45세
77,2013년 1월 25일 19시,금요일,서울특별시 강서구 내발산동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,여,44세
78,2013년 1월 25일 19시,금요일,서울특별시 강동구 강일동,중상사고,0,2,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,화물,남,51세,상해없음,승용,남,40세
79,2013년 1월 26일 08시,토요일,서울특별시 강동구 길동,중상사고,0,2,0,4,차대차 - 추돌 - 주정차중,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,승용,남,44세
80,2013년 1월 26일 11시,토요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승합,남,46세,상해없음,보행자,남,5세
81,2013년 1월 26일 13시,토요일,서울특별시 양천구 신정동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,이륜,남,17세,상해없음,보행자,여,6세
82,2013년 1월 26일 15시,토요일,서울특별시 서초구 잠원동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,승용,남,40세
